ID,lon,lat
680,17.2520492799,40.4692117047
681,17.2521818578,40.4693018589
682,17.2520213089,40.4688215335
683,17.252332942,40.4685367182
684,17.2512538952,40.4622756633
685,17.2514761165,40.4619330153
686,17.2524234637,40.469628768
687,17.2520680594,40.4689941839
688,17.2521999222,40.4691264112
689,17.2517249951,40.4655871914
690,17.2518864557,40.4651297584
691,17.2508655307,40.457992729
692,17.2511182535,40.4571997948
693,17.2514746223,40.4628871294
694,17.2516769866,40.4624734416
695,17.2536559484,40.4727478195
696,17.2515625557,40.4611543214
697,17.2515129422,40.4607415393
698,17.2547778408,40.4700625723
699,17.2520108688,40.4665128012
700,17.2521406563,40.4659401733
701,17.2530760994,40.4688491768
702,17.2516298076,40.4633929011
703,17.2518041921,40.4639342737
704,17.2519959373,40.4634768442
705,17.2513474749,40.4581584796
706,17.2522970488,40.4674574486
707,17.2524725516,40.4669764249
708,17.2520525669,40.4647046462
709,17.2522511634,40.4642633294
710,17.253015845,40.4700310812
711,17.2547821306,40.4693251739
712,17.2528830051,40.4678030737
713,17.2511213098,40.4556341114
714,17.2527695847,40.469838453
715,17.25275001,40.46928472
715,17.25334807,40.46928639
715,17.25392818,40.46939975
715,17.25447741,40.4692265
715,17.25501086,40.4690147
715,17.25554513,40.46880409
715,17.25607701,40.46858996
715,17.25661067,40.46837935
715,17.25705176,40.46853878
715,17.2547237245,40.4689509022
715,17.25268156,40.46965052
716,17.2510433571,40.4551436962
717,17.2508548107,40.4552651282
718,17.2508406175,40.4550834209
719,17.251105628,40.454976295
720,17.2511598914,40.4548066746
721,17.2523020453,40.4654827386
722,17.2524932685,40.4650226886
723,17.2510829366,40.4554313828
724,17.2510600545,40.4553022445
